0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120
0.33,0.329,0.328,0.328,0.326,0.329,0.329,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.326,0.329,0.329,0.328,0.328,0.329,0.329,0.33,0.33,0.329,0.33,0.33,0.33,0.33,0.331,0.331,0.331,0.331,0.332,0.332,0.333,0.332,0.333,0.333,0.333,0.333,0.333,0.334,0.333,0.334,0.334,0.333,0.334,0.334,0.334,0.334,0.333,0.333,0.334,0.334,0.333,0.333,0.332,0.334,0.333
0.286,0.284,0.285,0.285,0.287,0.288,0.293,0.295,0.296,0.295,0.295,0.297,0.296,0.298,0.299,0.297,0.298,0.297,0.297,0.297,0.3,0.298,0.298,0.299,0.298,0.3,0.298,0.297,0.299,0.297,0.298,0.296,0.299,0.297,0.297,0.298,0.298,0.299,0.299,0.3,0.299,0.301,0.303,0.3,0.303,0.301,0.301,0.301,0.303,0.304,0.303,0.304,0.303,0.304,0.305,0.303,0.305,0.305,0.303,0.305,0.304
0.115,0.117,0.117,0.12,0.129,0.137,0.148,0.155,0.158,0.161,0.163,0.161,0.163,0.162,0.165,0.162,0.163,0.166,0.165,0.165,0.167,0.166,0.166,0.166,0.167,0.169,0.169,0.167,0.169,0.169,0.169,0.168,0.168,0.17,0.17,0.169,0.17,0.171,0.169,0.169,0.171,0.169,0.169,0.171,0.171,0.171,0.171,0.17,0.17,0.171,0.171,0.171,0.171,0.172,0.171,0.172,0.172,0.172,0.17,0.172,0.171
0.13,0.142,0.173,0.198,0.209,0.215,0.218,0.219,0.22,0.222,0.222,0.223,0.224,0.225,0.225,0.226,0.226,0.226,0.228,0.229,0.229,0.229,0.23,0.23,0.23,0.229,0.23,0.231,0.231,0.231,0.23,0.23,0.231,0.231,0.231,0.231,0.231,0.231,0.232,0.231,0.231,0.232,0.231,0.232,0.232,0.232,0.232,0.232,0.233,0.232,0.232,0.233,0.232,0.232,0.232,0.233,0.233,0.233,0.233,0.233,0.229
0.303,0.301,0.303,0.307,0.31,0.31,0.309,0.315,0.317,0.318,0.313,0.318,0.315,0.318,0.318,0.316,0.319,0.316,0.32,0.32,0.318,0.322,0.319,0.323,0.319,0.322,0.319,0.323,0.32,0.323,0.323,0.32,0.32,0.32,0.322,0.322,0.318,0.321,0.316,0.319,0.315,0.318,0.318,0.318,0.317,0.316,0.316,0.32,0.317,0.318,0.319,0.323,0.324,0.324,0.324,0.321,0.322,0.322,0.322,0.323,0.323
0.28,0.279,0.281,0.282,0.283,0.284,0.282,0.287,0.288,0.285,0.291,0.286,0.286,0.286,0.286,0.291,0.287,0.287,0.292,0.291,0.288,0.292,0.292,0.291,0.287,0.288,0.284,0.286,0.285,0.285,0.284,0.282,0.285,0.285,0.283,0.287,0.285,0.286,0.287,0.287,0.288,0.292,0.292,0.29,0.293,0.291,0.291,0.292,0.292,0.291,0.294,0.291,0.291,0.294,0.295,0.295,0.295,0.294,0.295,0.296,0.293
0.156,0.156,0.157,0.162,0.173,0.179,0.186,0.195,0.197,0.201,0.203,0.199,0.2,0.2,0.204,0.203,0.203,0.204,0.205,0.207,0.206,0.206,0.206,0.208,0.207,0.207,0.209,0.207,0.207,0.209,0.21,0.209,0.208,0.209,0.209,0.21,0.207,0.208,0.209,0.208,0.208,0.208,0.209,0.208,0.21,0.211,0.211,0.21,0.21,0.211,0.21,0.21,0.21,0.209,0.211,0.209,0.209,0.211,0.21,0.212,0.211
0.137,0.145,0.181,0.201,0.213,0.216,0.218,0.223,0.223,0.224,0.224,0.226,0.231,0.226,0.23,0.226,0.23,0.23,0.226,0.225,0.229,0.226,0.229,0.23,0.232,0.229,0.23,0.232,0.233,0.23,0.232,0.229,0.23,0.231,0.231,0.231,0.229,0.23,0.23,0.23,0.231,0.231,0.232,0.231,0.232,0.232,0.233,0.231,0.23,0.232,0.23,0.232,0.234,0.229,0.232,0.231,0.231,0.232,0.231,0.231,0.226
0.32,0.32,0.323,0.331,0.334,0.332,0.341,0.337,0.338,0.34,0.346,0.343,0.33,0.313,0.311,0.309,0.307,0.307,0.3,0.304,0.299,0.305,0.303,0.308,0.316,0.306,0.301,0.3,0.299,0.297,0.298,0.297,0.298,0.304,0.303,0.303,0.298,0.304,0.298,0.298,0.298,0.303,0.297,0.296,0.297,0.297,0.3,0.301,0.296,0.296,0.3,0.299,0.3,0.295,0.296,0.295,0.296,0.296,0.3,0.295,0.298
0.305,0.307,0.32,0.326,0.329,0.331,0.329,0.316,0.31,0.308,0.305,0.303,0.3,0.303,0.304,0.306,0.309,0.311,0.307,0.301,0.298,0.296,0.295,0.295,0.294,0.295,0.294,0.294,0.293,0.295,0.295,0.295,0.294,0.293,0.293,0.293,0.291,0.293,0.293,0.294,0.293,0.293,0.292,0.294,0.293,0.292,0.292,0.292,0.291,0.291,0.293,0.293,0.293,0.292,0.291,0.293,0.292,0.293,0.293,0.293,0.291
